provider,service_code,service_name,service_title,category,source,collection_date,category_v2,category_v3
AWS,VMwareCloudOnAWS,VMwareCloudOnAWS,VMwareCloudOnAWS,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AWSEndUserMessaging3pFees,AWSEndUserMessaging3pFees,AWSEndUserMessaging3pFees,Messaging / Integration,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSDatabaseMigrationSvc,AWSDatabaseMigrationSvc,AWSDatabaseMigrationSvc,Database,AWS Price List Offer Index,2026-05-28,Database,Database
AWS,AmazonGuardDuty,AmazonGuardDuty,AmazonGuardDuty,Security,AWS Price List Offer Index,2026-05-28,Security,Other
AWS,AmazonApiGateway,AmazonApiGateway,AmazonApiGateway,Networking,AWS Price List Offer Index,2026-05-28,Networking,Networking
AWS,AWSBillingConductor,AWSBillingConductor,AWSBillingConductor,Billing / Support,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonEKS,AmazonEKS,AmazonEKS,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AmazonManagedBlockchain,AmazonManagedBlockchain,AmazonManagedBlockchain,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AWSSecurityHub,AWSSecurityHub,AWSSecurityHub,Security,AWS Price List Offer Index,2026-05-28,Security,Security
AWS,AmazonLookoutVision,AmazonLookoutVision,AmazonLookoutVision,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonML,AmazonML,AmazonML,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonS3GlacierDeepArchive,AmazonS3GlacierDeepArchive,AmazonS3GlacierDeepArchive,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,AWSNetworkFirewall,AWSNetworkFirewall,AWSNetworkFirewall,Networking,AWS Price List Offer Index,2026-05-28,Networking,Networking
AWS,AWSComputeOptimizer,AWSComputeOptimizer,AWSComputeOptimizer,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AWSStorageGateway,AWSStorageGateway,AWSStorageGateway,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,AmazonKinesisVideo,AmazonKinesisVideo,AmazonKinesisVideo,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AmazonSecurityLake,AmazonSecurityLake,AmazonSecurityLake,Security,AWS Price List Offer Index,2026-05-28,Security,Security
AWS,AWSIAMAccessAnalyzer,AWSIAMAccessAnalyzer,AWSIAMAccessAnalyzer,Security,AWS Price List Offer Index,2026-05-28,Security,Security
