provider,sku_id,description,resource_family,resource_group,usage_type,regions,hourly_price_usd,currency,source,accelerator
GCP,0008-F633-76AA,Nvidia L4 GPU attached to Spot Preemptible VMs running in Hong Kong,Compute,GPU,Preemptible,asia-east2,0.2121,USD,GCP Cloud Billing Catalog API,L4
GCP,0032-6F6D-C48E,Nvidia L4 GPU attached to Spot Preemptible VMs running in Montreal,Compute,GPU,Preemptible,northamerica-northeast1,0.3058,USD,GCP Cloud Billing Catalog API,L4
GCP,003E-D940-4BC0,Nvidia Tesla P100 GPU running in Seoul,Compute,GPU,OnDemand,asia-northeast3,1.6,USD,GCP Cloud Billing Catalog API,P100
GCP,0050-986A-2850,Commitment v1: H200 141GB GPU running in Netherlands for 1 Year,Compute,GPU,Commit1Yr,europe-west4,7.07453,USD,GCP Cloud Billing Catalog API,H200
GCP,005F-DC8C-CB19,Nvidia H100 80GB Mega GPU running in Sydney,Compute,GPU,OnDemand,australia-southeast1,12.93034,USD,GCP Cloud Billing Catalog API,H100
GCP,008E-3414-1336,Commitment v1: Nvidia Tesla A100 GPU running in APAC for 3 Year,Compute,GPU,Commit3Yr,asia-east1,1.0268678,USD,GCP Cloud Billing Catalog API,A100
GCP,00B3-8705-5B5B,Reserved Nvidia H100 80GB Mega GPU in Los Angeles in Calendar Mode,Compute,GPU,OnDemand,us-west2,4.841121033,USD,GCP Cloud Billing Catalog API,H100
GCP,00E0-A1C1-4F05,Reserved Nvidia H100 80GB GPU in Frankfurt in Calendar Mode,Compute,GPU,OnDemand,europe-west3,4.570090841,USD,GCP Cloud Billing Catalog API,H100
GCP,00F8-A9C1-00D0,Commitment v1: Nvidia L4 GPU running in Berlin for 3 Years,Compute,GPU,Commit3Yr,europe-west10,0.3881079,USD,GCP Cloud Billing Catalog API,L4
GCP,0115-21ED-7F03,Commitment v1: TpuV5p running in Netherlands for 3 Years,Compute,TPU,Commit3Yr,europe-west4,1.911,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0117-733F-6A96,Nvidia L4 GPU running in Singapore,Compute,GPU,OnDemand,asia-southeast1,0.6909216,USD,GCP Cloud Billing Catalog API,L4
GCP,011C-EF90-E258,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Delhi,Compute,GPU,OnDemand,asia-south2,8.055,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,013D-D201-82B4,Spot Preemptible A4 Nvidia B200 (1 gpu slice) running in Zurich,Compute,GPU,Preemptible,europe-west6,2.8099,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0148-BB07-E78B,Reserved Nvidia H100 80GB GPU in Singapore in Calendar Mode,Compute,GPU,OnDemand,asia-southeast1,4.570090841,USD,GCP Cloud Billing Catalog API,H100
GCP,0150-BBC1-42DC,Nvidia Tesla T4 GPU attached to DWS Defined Duration VMs running in Bangkok,Compute,GPU,OnDemand,asia-southeast3,0.42,USD,GCP Cloud Billing Catalog API,T4
GCP,01B7-7E2D-ACB7,Nvidia Tesla T4 GPU attached to Spot Preemptible VMs running in Seoul,Compute,GPU,Preemptible,asia-northeast3,0.1846,USD,GCP Cloud Billing Catalog API,T4
GCP,01BD-92E9-6A5C,Spot Preemptible 1/8 vGPU no lssd running in Frankfurt,Compute,GPU,Preemptible,europe-west3,0.3105,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,01E4-32A7-A053,Commitment v1: Nvidia Tesla A100 80GB GPU running in Las Vegas for 3 Years,Compute,GPU,Commit3Yr,us-west4,3.487689,USD,GCP Cloud Billing Catalog API,A100
GCP,01F6-D833-EC61,Nvidia Tesla T4 GPU running in Japan,Compute,GPU,OnDemand,asia-northeast1,0.37,USD,GCP Cloud Billing Catalog API,T4
GCP,0209-593A-FB5F,Commitment v1: A4 Nvidia B200 (1 gpu slice) in Los Angeles for 3 Year,Compute,GPU,Commit3Yr,us-west2,7.0884,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0245-8627-990A,Commitment v1: TpuV5p running in Salt Lake City for 1 Year,Compute,TPU,Commit1Yr,us-west3,3.413964,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0256-9B50-E3E1,Commitment v1: Nvidia Tesla P4 GPU running in Santiago for 1 Year,Compute,GPU,Commit1Yr,southamerica-west1,0.54054,USD,GCP Cloud Billing Catalog API,P4
GCP,026F-E6A1-BDBB,Reserved TpuV5p in Delhi in Calendar Mode,Compute,TPU,OnDemand,asia-south2,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,028C-2ADA-2A4A,Commitment v1: Nvidia Tesla P100 GPU running in Melbourne for 3 Year,Compute,GPU,Commit3Yr,australia-southeast2,0.93294,USD,GCP Cloud Billing Catalog API,P100
GCP,02AA-9D45-9541,Nvidia Tesla T4 GPU attached to DWS Defined Duration VMs running in Las Vegas,Compute,GPU,OnDemand,us-west4,0.37,USD,GCP Cloud Billing Catalog API,T4
GCP,02CD-F16B-D3B7,Commitment v1: Capacity Optimized TpuV6e running in Netherlands for 1 Year,Compute,TPU,Commit1Yr,europe-west4,2.08,USD,GCP Cloud Billing Catalog API,TPU v6e
GCP,02D3-A0D2-FC93,Commitment v1: Nvidia Tesla P100 GPU running in APAC for 1 Year,Compute,GPU,Commit1Yr,asia-east1,1.008,USD,GCP Cloud Billing Catalog API,P100
GCP,02E0-A592-25C0,Nvidia Tesla P4 GPU attached to DWS Defined Duration VMs running in Americas,Compute,GPU,OnDemand,"us-central1,us-east1,us-west1",0.6,USD,GCP Cloud Billing Catalog API,P4
GCP,02E3-5DA9-03A1,Commitment v1: TpuV5p running in Tokyo for 1 Year,Compute,TPU,Commit1Yr,asia-northeast1,3.647128,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,034E-97BB-19B1,Nvidia Tesla V100 GPU attached to DWS Defined Duration VMs running in Netherlands,Compute,GPU,OnDemand,europe-west4,2.604,USD,GCP Cloud Billing Catalog API,V100
GCP,0393-0D6A-D88A,H200 141GB GPU attached to DWS Defined Duration VMs running in Johannesburg,Compute,GPU,OnDemand,africa-south1,4.575323,USD,GCP Cloud Billing Catalog API,H200
GCP,0394-C09E-CF34,Reserved TpuV5p in Santiago in Calendar Mode,Compute,TPU,OnDemand,southamerica-west1,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0398-E744-D5DD,Commitment v1: TpuV5p running in Columbus for 1 Year,Compute,TPU,Commit1Yr,us-east5,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,039F-D0DA-4055,Nvidia Tesla A100 GPU running in Americas,Compute,GPU,OnDemand,"us-central1,us-east1,us-west1",2.933908,USD,GCP Cloud Billing Catalog API,A100
GCP,03AB-BBB0-F9E3,Commitment v1: Nvidia Tesla P100 GPU running in Israel for 1 Year,Compute,GPU,Commit1Yr,me-west1,1.0109,USD,GCP Cloud Billing Catalog API,P100
